,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 58,TF Blade,1913,Victory,24,229,14638,18,38
Match 59,TF Blade,2401,Defeat,92,301,21861,18,34
Match 60,TF Blade,1923,Defeat,58,214,12506,15,24
Match 61,TF Blade,1216,Defeat,24,172,7592,13,8
Match 62,TF Blade,1390,Victory,24,147,9272,14,18
Match 63,TF Blade,1833,Victory,24,169,13731,16,24
Match 64,TF Blade,1390,Victory,58,176,10926,14,26
Match 65,TF Blade,1556,Victory,8,143,8817,14,11
Match 66,TF Blade,2054,Victory,24,240,16141,17,21
Match 67,TF Blade,1557,Victory,58,234,13981,16,25
Match 68,TF Blade,1472,Defeat,62,137,8464,13,9
Match 69,TF Blade,2043,Defeat,24,292,14323,18,24
Match 70,TF Blade,1478,Defeat,23,198,10304,14,10
Match 71,TF Blade,927,Victory,39,140,7913,11,14
Match 72,TF Blade,2018,Defeat,75,212,11432,16,25
Match 73,TF Blade,1756,Defeat,24,140,8900,13,21
Match 74,TF Blade,1810,Defeat,75,183,11928,15,32
Match 75,TF Blade,1968,Defeat,75,194,13649,15,21
Match 76,TF Blade,1523,Victory,75,173,10109,15,10
Match 77,TF Blade,1861,Defeat,8,240,11870,16,19
