,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 6,Ender Dragon 3,2139,Victory,86,165,13488,17,13
Match 7,Ender Dragon 3,1656,Victory,157,156,12018,15,11
Match 8,Ender Dragon 3,1663,Defeat,157,175,9546,14,10
Match 9,Ender Dragon 3,1635,Defeat,157,174,9451,14,6
Match 10,Ender Dragon 3,1069,Defeat,92,101,5090,10,4
Match 11,Ender Dragon 3,1407,Victory,266,145,9603,15,8
Match 12,Ender Dragon 3,2068,Victory,157,223,17232,18,26
Match 13,Ender Dragon 3,2192,Defeat,238,175,14553,16,18
Match 14,Ender Dragon 3,2321,Victory,64,110,17955,18,20
Match 15,Ender Dragon 3,1904,Victory,238,152,18556,18,12
Match 16,Ender Dragon 3,1536,Victory,157,110,16359,15,10
Match 17,Ender Dragon 3,2162,Victory,107,60,15934,18,18
Match 18,Ender Dragon 3,1901,Victory,103,141,13473,16,14
Match 19,Ender Dragon 3,1987,Defeat,157,196,13031,15,22
Match 20,Ender Dragon 3,1899,Defeat,54,142,9808,15,16
Match 21,Ender Dragon 3,1580,Victory,157,158,9699,14,13
Match 22,Ender Dragon 3,1862,Victory,107,44,16990,18,15
Match 23,Ender Dragon 3,964,Defeat,157,101,6417,10,4
Match 24,Ender Dragon 3,1842,Defeat,266,171,9668,15,12
Match 25,Ender Dragon 3,1376,Victory,157,166,11113,14,14
Match 26,Ender Dragon 3,1227,Defeat,266,88,5309,10,8
Match 27,Ender Dragon 3,1480,Defeat,157,151,7383,13,13
Match 28,Ender Dragon 3,1271,Defeat,157,119,6943,11,5
Match 29,Ender Dragon 3,1818,Victory,266,154,11564,16,14
Match 30,Ender Dragon 3,2707,Victory,54,230,19839,18,24
Match 31,Ender Dragon 3,1800,Victory,157,184,13241,16,17
Match 32,Ender Dragon 3,1416,Defeat,202,165,8644,11,8
Match 33,Ender Dragon 3,2198,Victory,238,181,15228,18,13
Match 34,Ender Dragon 3,1592,Victory,157,192,17375,15,10
Match 35,Ender Dragon 3,1157,Defeat,67,95,6362,10,2
Match 36,Ender Dragon 3,1261,Defeat,103,103,6517,12,4
Match 37,Ender Dragon 3,1395,Victory,157,175,10705,14,10
Match 38,Ender Dragon 3,1805,Victory,92,177,12201,16,7
Match 39,Ender Dragon 3,2113,Victory,238,204,16193,18,24
Match 40,Ender Dragon 3,1391,Defeat,157,122,6420,10,6
Match 41,Ender Dragon 3,1566,Victory,92,163,10978,15,7
Match 42,Ender Dragon 3,192,Victory,157,10,896,3,0
Match 43,Ender Dragon 3,1323,Defeat,157,127,5797,11,8
Match 44,Ender Dragon 3,1772,Defeat,92,189,15515,16,12
Match 45,Ender Dragon 3,2456,Defeat,266,214,18486,18,16
Match 46,Ender Dragon 3,2312,Defeat,122,175,16387,18,19
Match 47,Ender Dragon 3,1438,Defeat,107,23,8738,11,9
Match 48,Ender Dragon 3,2953,Defeat,122,253,23834,18,28
Match 49,Ender Dragon 3,1184,Defeat,202,99,5383,8,7
Match 50,Ender Dragon 3,1264,Victory,236,151,15951,13,11
Match 51,Ender Dragon 3,1406,Victory,157,138,12121,14,12
Match 52,Ender Dragon 3,1592,Victory,157,188,13740,16,9
Match 53,Ender Dragon 3,2064,Defeat,122,214,12465,16,15
Match 54,Ender Dragon 3,923,Defeat,122,99,4990,10,5
Match 55,Ender Dragon 3,1496,Victory,107,25,13246,14,9
Match 56,Ender Dragon 3,1890,Defeat,107,152,18234,17,17
Match 57,Ender Dragon 3,933,Defeat,107,4,7003,9,5
Match 58,Ender Dragon 3,1891,Defeat,92,62,17092,16,15
Match 59,Ender Dragon 3,960,Victory,104,8,6504,10,10
Match 60,Ender Dragon 3,1180,Victory,157,126,10713,13,9
Match 61,Ender Dragon 3,2463,Defeat,266,177,17309,18,26
Match 62,Ender Dragon 3,1441,Victory,92,148,15257,15,8
Match 63,Ender Dragon 3,1235,Victory,107,9,8954,12,13
Match 64,Ender Dragon 3,1785,Victory,157,173,17713,17,17
Match 65,Ender Dragon 3,1884,Victory,157,205,15684,17,20
Match 66,Ender Dragon 3,1266,Defeat,157,158,8451,13,6
Match 67,Ender Dragon 3,2346,Defeat,126,194,17745,18,20
Match 68,Ender Dragon 3,1721,Victory,238,149,19172,17,10
Match 69,Ender Dragon 3,2081,Victory,67,208,16873,18,15
Match 70,Ender Dragon 3,1466,Victory,104,42,11586,15,15
Match 71,Ender Dragon 3,1732,Victory,107,44,14143,15,18
Match 72,Ender Dragon 3,2093,Defeat,103,193,12095,17,16
Match 73,Ender Dragon 3,1588,Victory,157,198,13120,15,12
Match 74,Ender Dragon 3,1583,Defeat,107,12,9328,12,19
