,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 16,Adrian Riven,1791,Defeat,92,202,10708,15,10
Match 17,Adrian Riven,1604,Defeat,2,172,9274,15,19
Match 18,Adrian Riven,2029,Victory,92,234,17939,18,25
Match 19,Adrian Riven,1234,Victory,92,144,9317,13,17
Match 20,Adrian Riven,1744,Victory,2,173,12762,16,31
Match 21,Adrian Riven,1944,Victory,58,240,18873,18,16
Match 22,Adrian Riven,1361,Victory,92,162,12186,13,11
Match 23,Adrian Riven,1552,Defeat,54,164,7542,13,16
Match 24,Adrian Riven,1260,Defeat,92,126,7418,12,8
Match 25,Adrian Riven,1691,Victory,92,206,13896,17,14
Match 26,Adrian Riven,1672,Victory,92,173,11788,15,14
Match 27,Adrian Riven,1366,Defeat,64,145,7224,12,5
Match 28,Adrian Riven,1253,Victory,64,145,10461,12,7
Match 29,Adrian Riven,1307,Victory,2,169,12021,13,11
Match 30,Adrian Riven,975,Victory,92,110,7989,12,11
Match 31,Adrian Riven,1379,Victory,92,172,8659,14,15
Match 32,Adrian Riven,1603,Defeat,92,155,8079,13,18
Match 33,Adrian Riven,1564,Defeat,92,192,12438,15,9
Match 34,Adrian Riven,1631,Victory,92,181,12348,16,21
Match 35,Adrian Riven,1594,Defeat,92,180,13025,15,12
Match 36,Adrian Riven,1872,Defeat,92,185,9612,14,24
Match 37,Adrian Riven,197,Defeat,92,16,998,3,1
Match 38,Adrian Riven,1413,Defeat,92,118,8886,12,11
Match 39,Adrian Riven,1537,Defeat,92,173,10307,14,11
Match 40,Adrian Riven,1411,Victory,92,161,12694,14,11
Match 41,Adrian Riven,2077,Victory,92,215,14726,17,14
Match 42,Adrian Riven,2041,Victory,92,226,18444,18,19
Match 43,Adrian Riven,1827,Victory,164,170,11335,15,13
Match 44,Adrian Riven,1675,Defeat,92,188,10075,14,14
Match 45,Adrian Riven,918,Victory,92,114,6512,10,6
Match 46,Adrian Riven,1111,Victory,92,128,7362,11,11
Match 47,Adrian Riven,1101,Victory,126,139,6543,12,7
Match 48,Adrian Riven,1536,Defeat,114,194,9562,14,20
Match 49,Adrian Riven,2066,Defeat,92,204,12609,16,24
Match 50,Adrian Riven,2135,Defeat,92,203,14747,16,32
Match 51,Adrian Riven,1853,Victory,92,177,12025,16,28
Match 52,Adrian Riven,2552,Defeat,92,238,15064,18,21
Match 53,Adrian Riven,1748,Defeat,92,195,10915,15,17
Match 54,Adrian Riven,954,Defeat,92,87,4796,9,9
Match 55,Adrian Riven,2237,Victory,92,255,18110,18,32
Match 56,Adrian Riven,1955,Defeat,92,166,12723,15,28
Match 57,Adrian Riven,2001,Defeat,2,187,12441,16,21
Match 58,Adrian Riven,953,Defeat,92,125,6359,11,5
Match 59,Adrian Riven,1299,Victory,92,178,10068,14,11
Match 60,Adrian Riven,1856,Defeat,92,208,9855,14,24
Match 61,Adrian Riven,1625,Victory,92,165,9404,14,20
Match 62,Adrian Riven,1380,Victory,92,144,8687,13,10
Match 63,Adrian Riven,1256,Victory,92,173,10277,14,11
